DEPOSITE | Acc: 1000000 | Amount: 2000
DEPOSITE | Acc: 1000000 | Amount: 2000
DEPOSITE | Acc: 1000000 | Amount: 2000
WITHDRAW | Acc: 1000001 | Amount: 10
WITHDRAW | Acc: 1000000 | Amount: 4500
WITHDRAW | Acc: 1000000 | Amount: 4500
WITHDRAW | Acc: 1000000 | Amount: 4500
WITHDRAW | Acc: 1000000 | Amount: 4500
WITHDRAW | Acc: 1000000 | Amount: 4500
WITHDRAW | Acc: 1000000 | Amount: 4500
WITHDRAW | Acc: 1000000 | Amount: 2500
DEPOSITE | Acc: 1000000 | Amount: 1500
WITHDRAW | Acc: 1000000 | Amount: 700
TRANSFER | FromAcc: 1000000 | ToAccount: 1000001 | Amount 300
